                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.1600  21.0000  0.41977E+02  0.42019E+02  0.00000E+00  0.00000E+00  0.42019E+02  0.00000E+00  0.00000E+00
   10.5890   2.1700  21.0000  0.41849E+02  0.41890E+02  0.00000E+00  0.00000E+00  0.41890E+02  0.00000E+00  0.00000E+00
   10.5890   2.1800  21.0000  0.41720E+02  0.41762E+02  0.00000E+00  0.00000E+00  0.41762E+02  0.00000E+00  0.00000E+00
   10.5890   2.1900  21.0000  0.41591E+02  0.41633E+02  0.00000E+00  0.00000E+00  0.41633E+02  0.00000E+00  0.00000E+00
   10.5890   2.2000  21.0000  0.41462E+02  0.41504E+02  0.00000E+00  0.00000E+00  0.41504E+02  0.00000E+00  0.00000E+00
   10.5890   2.2100  21.0000  0.41333E+02  0.41375E+02  0.00000E+00  0.00000E+00  0.41375E+02  0.00000E+00  0.00000E+00
   10.5890   2.2200  21.0000  0.41204E+02  0.41246E+02  0.00000E+00  0.00000E+00  0.41246E+02  0.00000E+00  0.00000E+00
   10.5890   2.2300  21.0000  0.41075E+02  0.41117E+02  0.00000E+00  0.00000E+00  0.41117E+02  0.00000E+00  0.00000E+00
   10.5890   2.2400  21.0000  0.40945E+02  0.40987E+02  0.00000E+00  0.00000E+00  0.40987E+02  0.00000E+00  0.00000E+00
   10.5890   2.2500  21.0000  0.40816E+02  0.40858E+02  0.00000E+00  0.00000E+00  0.40858E+02  0.00000E+00  0.00000E+00
   10.5890   2.2600  21.0000  0.40686E+02  0.40728E+02  0.00000E+00  0.00000E+00  0.40728E+02  0.00000E+00  0.00000E+00
   10.5890   2.2700  21.0000  0.40556E+02  0.40598E+02  0.00000E+00  0.00000E+00  0.40598E+02  0.00000E+00  0.00000E+00
   10.5890   2.2800  21.0000  0.40426E+02  0.40468E+02  0.00000E+00  0.00000E+00  0.40468E+02  0.00000E+00  0.00000E+00
   10.5890   2.2900  21.0000  0.40296E+02  0.40338E+02  0.00000E+00  0.00000E+00  0.40338E+02  0.00000E+00  0.00000E+00
   10.5890   2.3000  21.0000  0.40166E+02  0.40208E+02  0.00000E+00  0.00000E+00  0.40208E+02  0.00000E+00  0.00000E+00
   10.5890   2.3100  21.0000  0.40036E+02  0.40078E+02  0.00000E+00  0.00000E+00  0.40078E+02  0.00000E+00  0.00000E+00
   10.5890   2.3200  21.0000  0.39905E+02  0.39947E+02  0.00000E+00  0.00000E+00  0.39947E+02  0.00000E+00  0.00000E+00
   10.5890   2.3300  21.0000  0.39774E+02  0.39816E+02  0.00000E+00  0.00000E+00  0.39816E+02  0.00000E+00  0.00000E+00
   10.5890   2.3400  21.0000  0.39643E+02  0.39685E+02  0.00000E+00  0.00000E+00  0.39685E+02  0.00000E+00  0.00000E+00
