***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.1600  21.0000   0.1921   3.0383  0.68601E+01  0.68600E+01  0.70192E-04  0.68601E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.1700  21.0000   0.1932   3.0524  0.68366E+01  0.68365E+01  0.69833E-04  0.68366E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.1800  21.0000   0.1943   3.0665  0.68131E+01  0.68131E+01  0.69480E-04  0.68131E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.1900  21.0000   0.1954   3.0805  0.67897E+01  0.67897E+01  0.69134E-04  0.67897E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.2000  21.0000   0.1966   3.0946  0.67664E+01  0.67663E+01  0.68796E-04  0.67664E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.2100  21.0000   0.1977   3.1087  0.67431E+01  0.67430E+01  0.68463E-04  0.67431E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.2200  21.0000   0.1988   3.1227  0.67198E+01  0.67197E+01  0.68138E-04  0.67198E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.2300  21.0000   0.2000   3.1368  0.66965E+01  0.66965E+01  0.67819E-04  0.66965E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.2400  21.0000   0.2011   3.1509  0.66733E+01  0.66733E+01  0.67506E-04  0.66733E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.2500  21.0000   0.2022   3.1649  0.66502E+01  0.66501E+01  0.67200E-04  0.66502E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.2600  21.0000   0.2034   3.1790  0.66270E+01  0.66270E+01  0.66900E-04  0.66270E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.2700  21.0000   0.2045   3.1931  0.66039E+01  0.66039E+01  0.66606E-04  0.66039E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.2800  21.0000   0.2057   3.2071  0.65809E+01  0.65808E+01  0.66318E-04  0.65809E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.2900  21.0000   0.2068   3.2212  0.65578E+01  0.65578E+01  0.66036E-04  0.65578E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.3000  21.0000   0.2080   3.2353  0.65348E+01  0.65347E+01  0.65760E-04  0.65348E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.3100  21.0000   0.2091   3.2493  0.65118E+01  0.65117E+01  0.65490E-04  0.65118E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.3200  21.0000   0.2103   3.2634  0.64888E+01  0.64888E+01  0.65226E-04  0.64888E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.3300  21.0000   0.2115   3.2775  0.64659E+01  0.64658E+01  0.64967E-04  0.64659E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.3400  21.0000   0.2126   3.2915  0.64429E+01  0.64429E+01  0.64714E-04  0.64429E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.3500  21.0000   0.2138   3.3056  0.64200E+01  0.64200E+01  0.64466E-04  0.64200E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
