                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.1600  21.0000  0.68601E+01  0.68601E+01  0.00000E+00  0.00000E+00  0.68601E+01  0.00000E+00  0.00000E+00
   10.5890   2.1700  21.0000  0.68366E+01  0.68366E+01  0.00000E+00  0.00000E+00  0.68366E+01  0.00000E+00  0.00000E+00
   10.5890   2.1800  21.0000  0.68131E+01  0.68131E+01  0.00000E+00  0.00000E+00  0.68131E+01  0.00000E+00  0.00000E+00
   10.5890   2.1900  21.0000  0.67897E+01  0.67897E+01  0.00000E+00  0.00000E+00  0.67897E+01  0.00000E+00  0.00000E+00
   10.5890   2.2000  21.0000  0.67664E+01  0.67664E+01  0.00000E+00  0.00000E+00  0.67664E+01  0.00000E+00  0.00000E+00
   10.5890   2.2100  21.0000  0.67431E+01  0.67431E+01  0.00000E+00  0.00000E+00  0.67431E+01  0.00000E+00  0.00000E+00
   10.5890   2.2200  21.0000  0.67198E+01  0.67198E+01  0.00000E+00  0.00000E+00  0.67198E+01  0.00000E+00  0.00000E+00
   10.5890   2.2300  21.0000  0.66965E+01  0.66965E+01  0.00000E+00  0.00000E+00  0.66965E+01  0.00000E+00  0.00000E+00
   10.5890   2.2400  21.0000  0.66733E+01  0.66733E+01  0.00000E+00  0.00000E+00  0.66733E+01  0.00000E+00  0.00000E+00
   10.5890   2.2500  21.0000  0.66502E+01  0.66502E+01  0.00000E+00  0.00000E+00  0.66502E+01  0.00000E+00  0.00000E+00
   10.5890   2.2600  21.0000  0.66270E+01  0.66270E+01  0.00000E+00  0.00000E+00  0.66270E+01  0.00000E+00  0.00000E+00
   10.5890   2.2700  21.0000  0.66039E+01  0.66039E+01  0.00000E+00  0.00000E+00  0.66039E+01  0.00000E+00  0.00000E+00
   10.5890   2.2800  21.0000  0.65809E+01  0.65809E+01  0.00000E+00  0.00000E+00  0.65809E+01  0.00000E+00  0.00000E+00
   10.5890   2.2900  21.0000  0.65578E+01  0.65578E+01  0.00000E+00  0.00000E+00  0.65578E+01  0.00000E+00  0.00000E+00
   10.5890   2.3000  21.0000  0.65348E+01  0.65348E+01  0.00000E+00  0.00000E+00  0.65348E+01  0.00000E+00  0.00000E+00
   10.5890   2.3100  21.0000  0.65118E+01  0.65118E+01  0.00000E+00  0.00000E+00  0.65118E+01  0.00000E+00  0.00000E+00
   10.5890   2.3200  21.0000  0.64888E+01  0.64888E+01  0.00000E+00  0.00000E+00  0.64888E+01  0.00000E+00  0.00000E+00
   10.5890   2.3300  21.0000  0.64659E+01  0.64659E+01  0.00000E+00  0.00000E+00  0.64659E+01  0.00000E+00  0.00000E+00
   10.5890   2.3400  21.0000  0.64429E+01  0.64429E+01  0.00000E+00  0.00000E+00  0.64429E+01  0.00000E+00  0.00000E+00
   10.5890   2.3500  21.0000  0.64200E+01  0.64200E+01  0.00000E+00  0.00000E+00  0.64200E+01  0.00000E+00  0.00000E+00
   10.5890   2.3600  21.0000  0.63971E+01  0.63971E+01  0.00000E+00  0.00000E+00  0.63971E+01  0.00000E+00  0.00000E+00
   10.5890   2.3700  21.0000  0.63743E+01  0.63743E+01  0.00000E+00  0.00000E+00  0.63743E+01  0.00000E+00  0.00000E+00
   10.5890   2.3800  21.0000  0.63515E+01  0.63515E+01  0.00000E+00  0.00000E+00  0.63515E+01  0.00000E+00  0.00000E+00
   10.5890   2.3900  21.0000  0.63287E+01  0.63287E+01  0.00000E+00  0.00000E+00  0.63287E+01  0.00000E+00  0.00000E+00
   10.5890   2.4000  21.0000  0.63059E+01  0.63059E+01  0.00000E+00  0.00000E+00  0.63059E+01  0.00000E+00  0.00000E+00
   10.5890   2.4100  21.0000  0.62831E+01  0.62831E+01  0.00000E+00  0.00000E+00  0.62831E+01  0.00000E+00  0.00000E+00
   10.5890   2.4200  21.0000  0.62604E+01  0.62604E+01  0.00000E+00  0.00000E+00  0.62604E+01  0.00000E+00  0.00000E+00
   10.5890   2.4300  21.0000  0.62377E+01  0.62377E+01  0.00000E+00  0.00000E+00  0.62377E+01  0.00000E+00  0.00000E+00
   10.5890   2.4400  21.0000  0.62150E+01  0.62150E+01  0.00000E+00  0.00000E+00  0.62150E+01  0.00000E+00  0.00000E+00
   10.5890   2.4500  21.0000  0.61923E+01  0.61923E+01  0.00000E+00  0.00000E+00  0.61923E+01  0.00000E+00  0.00000E+00
