***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9000  12.5890   0.1023   1.4765  0.72428E+02  0.72424E+02  0.42058E-02  0.97308E+02  0.86626E+00  0.56802E+01  0.90762E+02  0.10001E+01
   10.5890   3.1000  15.5770   0.1716   2.4114  0.30521E+02  0.30519E+02  0.14469E-02  0.36597E+02  0.81095E-01  0.10815E+01  0.35435E+02  0.10002E+01
   10.5890   3.1000  19.1150   0.2576   3.6198  0.12136E+02  0.12136E+02  0.21897E-03  0.13446E+02  0.61840E-02  0.21402E+00  0.13226E+02  0.10003E+01
   10.5890   3.1000  20.5780   0.2981   4.1889  0.83098E+01  0.83097E+01  0.60077E-04  0.89410E+01  0.19258E-02  0.11002E+00  0.88290E+01  0.10004E+01
   10.5890   3.1000  21.9340   0.3382   4.7522  0.58032E+01  0.58032E+01 -0.16379E-05  0.60871E+01  0.60582E-03  0.59290E-01  0.60272E+01  0.10005E+01
   10.5890   3.1000  23.2130   0.3782   5.3148  0.40861E+01  0.40861E+01 -0.10356E-04  0.41925E+01  0.18695E-03  0.33039E-01  0.41592E+01  0.10006E+01
   10.5890   3.1000  24.4280   0.4182   5.8770  0.28837E+01  0.28837E+01 -0.79159E-05  0.28987E+01  0.55628E-04  0.18899E-01  0.28798E+01  0.10007E+01
   10.5890   3.1000  25.5940   0.4584   6.4419  0.20270E+01  0.20270E+01 -0.56267E-06  0.19992E+01  0.15870E-04  0.11031E-01  0.19881E+01  0.10009E+01
   10.5890   3.1000  26.7030   0.4982   7.0019  0.14200E+01  0.14200E+01  0.16897E-04  0.13759E+01  0.46636E-05  0.66110E-02  0.13693E+01  0.10010E+01
   10.5890   3.1000  27.7780   0.5383   7.5657  0.98205E+00  0.98201E+00  0.35632E-04  0.93565E+00  0.16180E-05  0.40310E-02  0.93162E+00  0.10012E+01
   10.5890   3.1000  29.9170   0.6225   8.7482  0.43003E+00  0.42996E+00  0.72367E-04  0.39639E+00  0.44606E-06  0.15409E-02  0.39485E+00  0.10017E+01
   10.5890   3.1000  31.7320   0.6983   9.8138  0.18787E+00  0.18777E+00  0.10294E-03  0.16852E+00  0.19404E-06  0.73329E-03  0.16778E+00  0.10023E+01
   10.5890   3.1000  33.5620   0.7788  10.9449  0.70049E-01  0.69911E-01  0.13843E-03  0.61197E-01  0.67767E-07  0.40825E-03  0.60788E-01  0.10030E+01
   10.5890   2.9000  36.1200   0.8182  11.8052  0.34615E-01  0.34492E-01  0.12276E-03  0.30048E-01  0.34975E-07  0.27980E-03  0.29768E-01  0.10037E+01
