                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9000  12.5890  0.72428E+02  0.95205E+02  0.85989E+00  0.89162E+02  0.97308E+02  0.86626E+00  0.90762E+02
   10.5890   3.1000  15.5770  0.30521E+02  0.36531E+02  0.80674E-01  0.35458E+02  0.36597E+02  0.81095E-01  0.35435E+02
   10.5890   3.1000  19.1150  0.12136E+02  0.13624E+02  0.61609E-02  0.13421E+02  0.13446E+02  0.61840E-02  0.13226E+02
   10.5890   3.1000  20.5780  0.83098E+01  0.91104E+01  0.19198E-02  0.90071E+01  0.89410E+01  0.19258E-02  0.88290E+01
   10.5890   3.1000  21.9340  0.58032E+01  0.62324E+01  0.60428E-03  0.61771E+01  0.60871E+01  0.60582E-03  0.60272E+01
   10.5890   3.1000  23.2130  0.40861E+01  0.43115E+01  0.18657E-03  0.42809E+01  0.41925E+01  0.18695E-03  0.41592E+01
   10.5890   3.1000  24.4280  0.28837E+01  0.29932E+01  0.55549E-04  0.29757E+01  0.28987E+01  0.55628E-04  0.28798E+01
   10.5890   3.1000  25.5940  0.20270E+01  0.20722E+01  0.15856E-04  0.20620E+01  0.19992E+01  0.15870E-04  0.19881E+01
   10.5890   3.1000  26.7030  0.14200E+01  0.14312E+01  0.46613E-05  0.14251E+01  0.13759E+01  0.46636E-05  0.13693E+01
   10.5890   3.1000  27.7780  0.98205E+00  0.97658E+00  0.16181E-05  0.97286E+00  0.93565E+00  0.16180E-05  0.93162E+00
   10.5890   3.1000  29.9170  0.43003E+00  0.41654E+00  0.44649E-06  0.41511E+00  0.39639E+00  0.44606E-06  0.39485E+00
   10.5890   3.1000  31.7320  0.18787E+00  0.17807E+00  0.19437E-06  0.17739E+00  0.16852E+00  0.19404E-06  0.16778E+00
   10.5890   3.1000  33.5620  0.70049E-01  0.65017E-01  0.67935E-07  0.64629E-01  0.61197E-01  0.67767E-07  0.60788E-01
   10.5890   2.9000  36.1200  0.34615E-01  0.31945E-01  0.35048E-07  0.31676E-01  0.30048E-01  0.34975E-07  0.29768E-01
