 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9000  12.5890   0.1023   1.4765  0.69095E+02  0.69091E+02  0.32972E-02  0.90253E+02  0.86620E+00  0.39820E+01  0.85405E+02  0.10001E+01
   10.5890   3.1000  15.5770   0.1716   2.4114  0.28180E+02  0.28179E+02  0.11029E-02  0.33226E+02  0.81089E-01  0.79291E+00  0.32352E+02  0.10002E+01
   10.5890   3.1000  19.1150   0.2576   3.6198  0.10769E+02  0.10769E+02  0.16192E-03  0.11797E+02  0.61837E-02  0.16038E+00  0.11630E+02  0.10004E+01
   10.5890   3.1000  20.5780   0.2981   4.1889  0.72430E+01  0.72430E+01  0.43938E-04  0.77213E+01  0.19257E-02  0.82638E-01  0.76367E+01  0.10005E+01
   10.5890   3.1000  21.9340   0.3382   4.7522  0.49721E+01  0.49721E+01 -0.11786E-05  0.51747E+01  0.60580E-03  0.44484E-01  0.51296E+01  0.10006E+01
   10.5890   3.1000  23.2130   0.3782   5.3148  0.34434E+01  0.34435E+01 -0.74030E-05  0.35088E+01  0.18694E-03  0.24698E-01  0.34839E+01  0.10007E+01
   10.5890   3.1000  24.4280   0.4182   5.8770  0.23917E+01  0.23917E+01 -0.56283E-05  0.23909E+01  0.55628E-04  0.14052E-01  0.23768E+01  0.10008E+01
   10.5890   3.1000  25.5940   0.4584   6.4419  0.16554E+01  0.16554E+01 -0.39830E-06  0.16245E+01  0.15870E-04  0.81481E-02  0.16163E+01  0.10009E+01
   10.5890   3.1000  26.7030   0.4982   7.0019  0.11428E+01  0.11427E+01  0.11976E-04  0.11028E+01  0.46631E-05  0.48483E-02  0.10979E+01  0.10011E+01
   10.5890   3.1000  27.7780   0.5383   7.5657  0.77934E+00  0.77931E+00  0.25172E-04  0.74022E+00  0.16180E-05  0.29340E-02  0.73728E+00  0.10013E+01
   10.5890   3.1000  29.9170   0.6225   8.7482  0.33308E+00  0.33303E+00  0.50875E-04  0.30699E+00  0.44606E-06  0.11042E-02  0.30589E+00  0.10018E+01
   10.5890   3.1000  31.7320   0.6983   9.8138  0.14439E+00  0.14431E+00  0.72180E-04  0.12976E+00  0.19404E-06  0.51912E-03  0.12924E+00  0.10023E+01
   10.5890   3.1000  33.5620   0.7788  10.9449  0.55256E-01  0.55159E-01  0.96930E-04  0.48383E-01  0.67770E-07  0.28647E-03  0.48097E-01  0.10029E+01
   10.5890   2.9000  36.1200   0.8182  11.8052  0.28155E-01  0.28069E-01  0.85961E-04  0.24434E-01  0.34977E-07  0.19593E-03  0.24238E-01  0.10033E+01
