                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9000  12.5890  0.69095E+02  0.88788E+02  0.85989E+00  0.84277E+02  0.90253E+02  0.86620E+00  0.85405E+02
   10.5890   3.1000  15.5770  0.28180E+02  0.33302E+02  0.80674E-01  0.32490E+02  0.33226E+02  0.81089E-01  0.32352E+02
   10.5890   3.1000  19.1150  0.10769E+02  0.11989E+02  0.61610E-02  0.11835E+02  0.11797E+02  0.61837E-02  0.11630E+02
   10.5890   3.1000  20.5780  0.72430E+01  0.78879E+01  0.19198E-02  0.78094E+01  0.77213E+01  0.19257E-02  0.76367E+01
   10.5890   3.1000  21.9340  0.49721E+01  0.53103E+01  0.60429E-03  0.52684E+01  0.51747E+01  0.60580E-03  0.51296E+01
   10.5890   3.1000  23.2130  0.34434E+01  0.36155E+01  0.18657E-03  0.35924E+01  0.35088E+01  0.18694E-03  0.34839E+01
   10.5890   3.1000  24.4280  0.23917E+01  0.24729E+01  0.55551E-04  0.24598E+01  0.23909E+01  0.55628E-04  0.23768E+01
   10.5890   3.1000  25.5940  0.16554E+01  0.16861E+01  0.15856E-04  0.16785E+01  0.16245E+01  0.15870E-04  0.16163E+01
   10.5890   3.1000  26.7030  0.11428E+01  0.11484E+01  0.46610E-05  0.11439E+01  0.11028E+01  0.46631E-05  0.10979E+01
   10.5890   3.1000  27.7780  0.77934E+00  0.77327E+00  0.16182E-05  0.77055E+00  0.74022E+00  0.16180E-05  0.73728E+00
   10.5890   3.1000  29.9170  0.33308E+00  0.32264E+00  0.44650E-06  0.32161E+00  0.30699E+00  0.44606E-06  0.30589E+00
   10.5890   3.1000  31.7320  0.14439E+00  0.13704E+00  0.19437E-06  0.13655E+00  0.12976E+00  0.19404E-06  0.12924E+00
   10.5890   3.1000  33.5620  0.55256E-01  0.51359E-01  0.67939E-07  0.51086E-01  0.48383E-01  0.67770E-07  0.48097E-01
   10.5890   2.9000  36.1200  0.28155E-01  0.25967E-01  0.35050E-07  0.25778E-01  0.24434E-01  0.34977E-07  0.24238E-01
