                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9450  23.9940  0.31062E+01  0.32823E+01  0.19254E-03  0.32588E+01  0.31909E+01  0.19307E-03  0.31656E+01
   10.5890   2.9450  24.0040  0.30975E+01  0.32727E+01  0.19078E-03  0.32493E+01  0.31815E+01  0.19130E-03  0.31562E+01
   10.5890   2.9450  24.0140  0.30888E+01  0.32630E+01  0.18903E-03  0.32397E+01  0.31719E+01  0.18955E-03  0.31468E+01
   10.5890   2.9450  24.0240  0.30800E+01  0.32535E+01  0.18730E-03  0.32303E+01  0.31626E+01  0.18781E-03  0.31376E+01
   10.5890   2.9450  24.0340  0.30714E+01  0.32439E+01  0.18558E-03  0.32208E+01  0.31532E+01  0.18609E-03  0.31283E+01
   10.5890   2.9450  24.0440  0.30627E+01  0.32343E+01  0.18387E-03  0.32113E+01  0.31438E+01  0.18438E-03  0.31190E+01
   10.5890   2.9450  24.0540  0.30541E+01  0.32247E+01  0.18219E-03  0.32018E+01  0.31343E+01  0.18268E-03  0.31096E+01
   10.5890   2.9450  24.0640  0.30454E+01  0.32151E+01  0.18051E-03  0.31923E+01  0.31249E+01  0.18100E-03  0.31004E+01
   10.5890   2.9450  24.0740  0.30368E+01  0.32057E+01  0.17885E-03  0.31830E+01  0.31156E+01  0.17934E-03  0.30912E+01
   10.5890   2.9450  24.0840  0.30283E+01  0.31964E+01  0.17721E-03  0.31738E+01  0.31066E+01  0.17769E-03  0.30822E+01
   10.5890   2.9450  24.0940  0.30197E+01  0.31870E+01  0.17557E-03  0.31645E+01  0.30973E+01  0.17605E-03  0.30731E+01
   10.5890   2.9450  24.1040  0.30112E+01  0.31775E+01  0.17396E-03  0.31552E+01  0.30880E+01  0.17443E-03  0.30639E+01
   10.5890   2.9450  24.1140  0.30027E+01  0.31681E+01  0.17235E-03  0.31458E+01  0.30787E+01  0.17282E-03  0.30547E+01
   10.5890   2.9450  24.1240  0.29942E+01  0.31587E+01  0.17076E-03  0.31365E+01  0.30695E+01  0.17122E-03  0.30456E+01
   10.5890   2.9450  24.1340  0.29857E+01  0.31493E+01  0.16919E-03  0.31272E+01  0.30604E+01  0.16964E-03  0.30365E+01
   10.5890   2.9450  24.1440  0.29772E+01  0.31400E+01  0.16762E-03  0.31180E+01  0.30512E+01  0.16807E-03  0.30275E+01
   10.5890   2.9450  24.1540  0.29688E+01  0.31307E+01  0.16607E-03  0.31088E+01  0.30421E+01  0.16652E-03  0.30185E+01
   10.5890   2.9450  24.1640  0.29604E+01  0.31214E+01  0.16454E-03  0.30996E+01  0.30330E+01  0.16498E-03  0.30095E+01
   10.5890   2.9450  24.1740  0.29520E+01  0.31122E+01  0.16301E-03  0.30905E+01  0.30239E+01  0.16345E-03  0.30005E+01
   10.5890   2.9450  24.1840  0.29436E+01  0.31028E+01  0.16150E-03  0.30812E+01  0.30147E+01  0.16194E-03  0.29914E+01
   10.5890   2.9450  24.1940  0.29353E+01  0.30960E+01  0.16001E-03  0.30745E+01  0.30080E+01  0.16043E-03  0.29848E+01
   10.5890   2.9450  24.2040  0.29270E+01  0.30868E+01  0.15852E-03  0.30654E+01  0.29990E+01  0.15894E-03  0.29759E+01
   10.5890   2.9450  24.2140  0.29187E+01  0.30753E+01  0.15705E-03  0.30539E+01  0.29877E+01  0.15747E-03  0.29647E+01
   10.5890   2.9450  24.2240  0.29104E+01  0.30661E+01  0.15559E-03  0.30449E+01  0.29787E+01  0.15601E-03  0.29558E+01
   10.5890   2.9450  24.2340  0.29021E+01  0.30570E+01  0.15415E-03  0.30359E+01  0.29697E+01  0.15456E-03  0.29470E+01
   10.5890   2.9450  24.2440  0.28939E+01  0.30478E+01  0.15272E-03  0.30267E+01  0.29607E+01  0.15312E-03  0.29380E+01
   10.5890   2.9450  24.2540  0.28857E+01  0.30387E+01  0.15129E-03  0.30177E+01  0.29517E+01  0.15169E-03  0.29292E+01
   10.5890   2.9450  24.2640  0.28775E+01  0.30296E+01  0.14989E-03  0.30088E+01  0.29429E+01  0.15028E-03  0.29204E+01
   10.5890   2.9450  24.2740  0.28693E+01  0.30206E+01  0.14849E-03  0.29999E+01  0.29340E+01  0.14888E-03  0.29117E+01
   10.5890   2.9450  24.2840  0.28611E+01  0.30116E+01  0.14711E-03  0.29910E+01  0.29252E+01  0.14749E-03  0.29030E+01
   10.5890   2.9450  24.2940  0.28530E+01  0.30027E+01  0.14573E-03  0.29821E+01  0.29164E+01  0.14612E-03  0.28943E+01
   10.5890   2.9450  24.3040  0.28449E+01  0.29938E+01  0.14437E-03  0.29733E+01  0.29077E+01  0.14475E-03  0.28856E+01
   10.5890   2.9450  24.3140  0.28368E+01  0.29849E+01  0.14302E-03  0.29645E+01  0.28990E+01  0.14340E-03  0.28770E+01
   10.5890   2.9450  24.3240  0.28287E+01  0.29760E+01  0.14169E-03  0.29557E+01  0.28903E+01  0.14206E-03  0.28684E+01
